DBNs,Funding
04M155,"2,291,593"
31R050,"4,052,337"
22K052,"4,326,398"
05M317,0
05M175,"2,231,843"
04M372,"2,327,459"
29Q109,"5,501,313"
04M377,"1,406,013"
04M375,"1,686,433"
12X061,"2,646,841"
02M407,"2,308,936"
75K140,0
75K141,0
26Q067,"4,440,837"
12X067,"3,806,109"
04M406,"900,474"
08X125,"3,934,327"
08X036,"4,220,632"
08X048,"4,631,352"
04M171,"3,389,956"
02M442,"924,096"
08X123,"3,219,358"
31R029,"3,739,325"
31R026,"1,393,569"
01M140,"2,474,219"
31R024,"7,542,035"
01M142,"2,454,488"
13K270,"1,574,263"
31R023,"2,795,636"
31R020,"2,943,854"
27Q197,"3,484,341"
13K054,"2,057,381"
15K130,"2,792,277"
13K056,"2,157,512"
02M655,"4,082,485"
16K627,"780,340"
07X043,"2,714,352"
15K136,"3,690,300"
07X162,"4,118,815"
16K628,"815,077"
07X161,"4,450,386"
07X049,"4,490,445"
09X063,"3,807,876"
24Q073,"7,827,844"
03M076,"2,408,167"
24Q229,"7,174,686"
24Q071,"6,568,536"
10X307,"1,805,770"
09X064,"5,003,371"
17K092,"3,468,318"
19K260,"2,232,791"
19K302,"5,078,356"
11X144,"5,338,352"
30Q069,"5,933,427"
19K306,"3,939,206"
30Q149,"6,544,309"
25Q130,"2,026,750"
26Q018,"2,077,256"
84M481,0
16K308,"3,623,446"
10X032,"4,428,430"
10X033,"5,209,594"
30Q141,"5,038,662"
27Q114,"4,679,355"
10X037,"3,797,687"
11X078,"3,855,997"
25Q237,"6,208,582"
09X313,"2,683,139"
11X076,"5,670,480"
30Q204,"3,971,292"
32K151,"2,507,338"
02M011,"3,442,299"
20K062,"6,978,874"
17K189,"6,276,385"
02M150,"984,471"
16K534,"1,655,864"
17K061,"5,672,466"
15K592,"951,007"
28Q086,"5,076,923"
18K208,"2,906,970"
18K366,"1,641,872"
28Q082,"3,615,642"
21K212,"3,832,127"
28Q080,"3,886,670"
29Q259,"3,080,273"
10X020,"5,877,308"
09X114,"5,101,130"
08X467,"1,122,848"
84M329,0
14K019,"2,069,441"
09X215,"2,241,127"
27Q253,"2,758,102"
12X129,"3,168,592"
84M320,0
03M180,"3,481,888"
14K017,"2,574,851"
14K016,"1,844,696"
10X459,"1,334,125"
09X004,"3,716,869"
09X002,"1,339,150"
19K007,"4,248,834"
28Q101,"3,479,413"
84K744,0
09X166,0
09X163,"3,807,231"
03M165,"4,719,439"
03M415,"3,501,769"
16K057,"1,500,584"
03M009,"2,951,703"
23K284,"3,174,624"
19K677,"2,132,246"
03M163,"3,544,524"
05M133,"2,064,311"
19K678,"1,071,743"
03M145,"3,105,417"
25Q252,"2,634,528"
01M361,"1,522,952"
27Q210,"8,935,036"
01M363,"1,789,216"
27Q215,"3,444,681"
01M364,"1,737,169"
30Q145,"10,243,527"
17K191,"1,750,083"
04M007,"2,144,450"
02M225,"1,968,924"
09X339,"4,858,807"
11X370,"2,794,643"
09X218,"4,427,969"
28Q175,"3,557,493"
28Q174,"3,336,438"
11X272,"2,775,432"
11X270,"3,303,995"
20K609,"1,847,027"
11X105,"8,036,020"
11X106,"6,310,994"
03M333,"3,781,543"
20K259,"6,941,404"
14K110,"2,279,489"
22K014,"4,195,265"
12X267,"2,275,435"
11X108,"3,297,949"
17K334,"1,523,051"
29Q038,"1,671,959"
12X300,"3,287,353"
10X331,"2,533,497"
75Q811,0
08X130,"2,865,185"
09X505,"4,252,889"
31R063,"2,625,898"
31R060,"4,740,360"
27Q137,"8,592,364"
25Q194,"5,868,227"
01M188,"2,476,121"
31R065,"1,253,212"
01M184,"3,002,823"
84X496,0
24Q143,"7,755,893"
02M408,"3,212,614"
21K303,"4,220,635"
03M166,"2,885,647"
27Q232,"6,026,490"
11X194,"6,625,032"
06M018,"2,461,186"
26Q191,"1,840,536"
02M033,"2,058,507"
13K313,"1,397,116"
16K584,"1,516,316"
10X051,"1,778,381"
08X138,"4,617,332"
07X001,"3,720,136"
17K533,"2,866,863"
13K093,"1,946,496"
07X005,"3,083,982"
19K224,"4,257,277"
11X103,"5,868,327"
28Q680,"3,190,569"
05M344,0
17K531,"2,280,691"
21K281,"6,584,595"
06M152,"4,247,892"
21K288,"2,983,761"
09X219,"2,733,632"
29Q132,"2,146,693"
29Q131,"3,968,500"
29Q136,"3,352,776"
18K114,"3,973,568"
29Q134,"3,238,211"
29Q135,"5,533,903"
29Q033,"5,609,228"
12X150,"4,581,878"
29Q138,"4,895,162"
18K115,"5,655,768"
29Q037,"2,656,621"
29Q036,"2,552,404"
29Q035,"3,343,825"
29Q034,"2,824,911"
04M224,"1,351,182"
84X422,0
01M134,"2,243,799"
04M072,"3,404,470"
01M137,"1,800,663"
20K180,"6,912,728"
02M276,"1,384,561"
02M130,"4,639,648"
13K020,"2,125,977"
15K261,"4,214,652"
84R067,0
10X094,"5,432,138"
10X095,"6,969,259"
30Q084,"2,551,365"
30Q085,"2,694,826"
10X159,"1,738,242"
10X091,"4,144,794"
14K071,"5,364,502"
30Q230,"4,780,469"
02M059,"2,811,101"
29Q295,"2,840,654"
02M290,"3,258,912"
13K008,"2,701,407"
08X424,"2,812,381"
75Q075,0
32K106,"3,596,157"
04M610,"2,150,994"
15K497,"2,893,023"
15K146,"3,359,052"
09X457,"2,746,645"
24Q560,"2,949,967"
09X109,"3,785,370"
19K452,"1,549,581"
32K383,"4,659,043"
30Q580,"2,655,479"
31R018,"3,608,508"
15K464,"2,473,439"
15K463,"2,124,729"
15K462,"2,778,871"
84Q341,0
28Q206,"3,321,478"
84M386,0
09X323,"2,956,915"
25Q163,"3,007,131"
11X087,"3,096,587"
84M382,0
25Q164,"3,594,391"
09X324,"2,154,735"
11X498,"1,415,759"
25Q169,"2,458,382"
09X042,"3,633,762"
28Q140,"3,659,109"
11X326,"2,474,018"
11X089,"7,346,476"
14K330,"999,974"
11X322,"3,366,219"
17K022,"2,989,589"
04M045,"2,229,726"
16K243,"2,666,524"
02M126,"4,161,899"
02M006,"4,155,406"
75K231,0
25Q242,"2,836,610"
12X066,"4,753,248"
23K671,"535,085"
08X376,"2,360,247"
02M198,"2,968,314"
10X243,"3,637,178"
06M348,"3,315,357"
06M349,"1,172,188"
19K013,"3,268,859"
02M003,"3,299,908"
06M346,"2,710,904"
08X333,"2,915,557"
08X335,"1,269,814"
22K312,"5,027,543"
10X254,"2,800,895"
14K023,"1,678,705"
84M708,0
16K081,"2,966,012"
10X399,0
26Q173,"4,062,041"
84M702,0
10X396,"1,801,262"
10X391,"4,102,824"
10X390,"3,184,842"
84M704,0
84M705,0
19K171,"4,121,975"
84K359,0
17K484,"1,105,611"
19K174,"2,947,052"
06M048,"3,472,325"
20K112,"2,527,359"
11X096,"5,680,415"
11X142,"4,665,097"
84K357,0
84K356,0
84K355,0
26Q178,"2,583,823"
24Q102,"5,994,672"
03M054,"4,159,737"
05M046,"3,715,507"
31R014,"3,561,550"
23K155,"3,055,679"
23K156,"3,805,426"
31R027,"6,496,319"
15K038,"2,527,319"
15K039,"2,014,069"
19K072,0
09X035,"3,559,757"
17K375,"3,002,507"
75K370,0
75Q255,0
75Q256,0
06M192,"2,392,875"
20K506,"3,628,246"
24Q068,"4,058,100"
31R022,"5,536,986"
75K372,0
24Q061,"10,779,224"
05M161,"6,347,199"
84X165,0
02M051,"1,941,030"
25Q193,"2,604,289"
25Q499,"2,313,998"
75X168,0
27Q262,"2,892,819"
31R021,"2,676,822"
01M315,"1,357,198"
31R080,"6,034,466"
22K234,"8,499,129"
07X296,"1,730,436"
20K204,"5,686,059"
13K009,"2,977,884"
20K201,"6,633,224"
20K200,"5,616,494"
32K299,"2,697,208"
21K153,"2,759,777"
07X298,"1,616,627"
22K236,"3,439,226"
08X100,"4,090,173"
11X127,"3,946,338"
07X029,"4,089,160"
12X057,"3,098,256"
12X050,"3,291,315"
12X198,"2,872,603"
84X255,0
16K335,"2,894,437"
12X195,"4,406,434"
05M302,"1,393,560"
09X250,"2,136,185"
12X196,"4,244,375"
20K163,"3,130,137"
20K160,"4,410,593"
13K596,"1,146,433"
27Q045,"2,659,717"
27Q047,"1,518,990"
27Q042,"3,929,236"
75Q224,0
13K003,"3,301,151"
09X145,"3,023,513"
10X447,"1,535,335"
04M381,"1,792,398"
24Q199,"5,525,093"
07X223,"2,475,122"
28Q220,"3,150,581"
31R039,"2,540,946"
31R038,"2,434,094"
29Q176,"3,828,522"
31R061,"6,676,344"
31R035,"1,928,395"
31R034,"6,338,957"
31R036,"4,666,025"
06M128,"4,179,444"
13K266,"1,245,865"
21K239,"6,178,607"
21K238,"4,018,995"
07X179,"2,443,917"
22K222,"4,266,991"
13K046,"2,224,723"
16K636,"1,184,558"
22K381,"2,932,190"
26Q133,"3,174,976"
15K107,"2,810,948"
29Q095,"7,167,177"
84K538,0
13K287,"1,697,009"
08X140,"3,152,698"
13K282,"5,192,669"
09X022,"3,758,408"
31R048,"2,345,399"
08X269,"2,321,476"
08X146,"2,498,567"
30Q070,"4,793,349"
10X024,"4,752,708"
10X141,"7,541,903"
32K349,"3,235,433"
30Q076,"3,789,573"
